prenom,nom,sexe,email,pseudo,password,orientation,bio,interests,profile_picture,date_birth,latitude,longitude,fame_rating
kapel,Pineau,male,kapel.Pineau.17@email.fr,kapelP17,kapelP17999,female,S'il vous plaît emmenez-moi à cette adresse. ,"tv,music,mountain,geek,sea",97_photo_112233.jpeg,4-2-1963,48.8785970000005,2.37436800000001,9
luitgard,Fontaine,female,luitgard.Fontaine.18@email.fr,luitgardF18,luitgardF18999,female,Il est maigre. ,"sea,vegan,friends,geek,lazy",28_photo_112233.jpeg,8-27-1956,48.8015970000002,2.258868,9
firdaus,Breton,male,firdaus.Breton.19@email.fr,firdausB19,firdausB19999,male,Il est / C'est sûr que ,friends,street-performers-870113_640.jpg,10-7-1991,48.8535970000004,2.336868,4
christabel,Lebreton,female,christabel.Lebreton.20@email.fr,christabelL20,christabelL20999,male,Il a raison. ,sea,model-3362457_640.jpg,11-19-1962,48.8800970000005,2.37661800000001,10
kobina,Tran,male,kobina.Tran.21@email.fr,kobinaT21,kobinaT21999,male,Quel est votre nom de famille ? ,"mountain,piercing,friends,music,tv,vegan,lazy,sea,geek,sport",businessman-6248246_640.jpg,2-11-1979,48.8260970000003,2.295618,7
stina,Vial,female,stina.Vial.22@email.fr,stinaV22,stinaV22999,female,Il est mignon. ,"sport,geek,sea,lazy,piercing,friends,vegan,tv,music",98_photo_112233.jpeg,1-16-1957,48.9005970000006,2.40736800000001,7
aarne,Jacquot,male,aarne.Jacquot.23@email.fr,aarneJ23,aarneJ23999,female,Je pense que c'est bon. ,"tv,sport,music,vegan,geek,mountain,lazy,friends,sea",yoga-day-4329896_640.jpg,1-1-1972,48.8825970000005,2.38036800000001,10
gervasio,Leconte,male,gervasio.Leconte.24@email.fr,gervasioL24,gervasioL24999,bisexual,Je voudrais connaître / avoir votre réaction face à ,"mountain,music,tv,sport,geek,sea,friends,piercing,lazy,vegan",man-8245780_640.webp,5-20-1997,48.9105970000007,2.42236800000001,8
marcel,Berthelot,male,marcel.Berthelot.25@email.fr,marcelB25,marcelB25999,male,Vraiment? ,"geek,tv,vegan,lazy,music",78_photo_112233.jpeg,12-10-1985,48.9255970000008,2.44486800000001,9
debbie,Sauvage,female,debbie.Sauvage.26@email.fr,debbieS26,debbieS26999,bisexual,Tout dépend de,"lazy,vegan,music",11_photo_112233.jpeg,11-25-1985,48.8370970000003,2.312118,9
kemp,Perret,male,kemp.Perret.27@email.fr,kempP27,kempP27999,male,Où est-ce que tu travaillais avant d'être avec nous ici ? ,"sea,vegan,geek,tv,lazy",7_photo_112233.jpeg,5-1-1959,48.769597,2.210868,3
pamella,Peltier,female,pamella.Peltier.28@email.fr,pamellaP28,pamellaP28999,bisexual,Juste un peu. ,"sea,friends,piercing,mountain",61_photo_112233.jpeg,12-18-1985,48.7920970000001,2.244618,10
nicostrato,Barbe,male,nicostrato.Barbe.29@email.fr,nicostratoB29,nicostratoB29999,bisexual,Il a les cheveux raides. ,"vegan,sport,piercing,mountain",57_photo_112233.jpeg,7-25-1958,48.9120970000007,2.42461800000001,7
tormod,Royer,male,tormod.Royer.30@email.fr,tormodR30,tormodR30999,male,Tout est prêt. ,"mountain,geek,tv",2_photo_112233.jpeg,7-1-1981,48.8960970000006,2.40061800000001,6
frederik,Berger,male,frederik.Berger.31@email.fr,frederikB31,frederikB31999,male,Cette voiture ressemble à ma voiture. ,"piercing,friends,geek,sport,music",42_photo_112233.jpeg,5-20-1982,48.9260970000008,2.44561800000001,4
manlio,Tran,male,manlio.Tran.32@email.fr,manlioT32,manlioT32999,bisexual,Plus que ça. ,"music,geek,sport,tv,vegan,mountain",businessman-6248246_640.jpg,3-5-1987,48.8990970000006,2.40511800000001,7
harrietta,Buisson,female,harrietta.Buisson.33@email.fr,harriettaB33,harriettaB33999,female,Elle est petite. ,"mountain,music,tv,sport,geek,sea,friends,piercing,lazy,vegan",105_photo_112233.jpeg,11-4-1957,48.9485970000009,2.47936800000001,2
alfredo,Morel,male,alfredo.Morel.34@email.fr,alfredoM34,alfredoM34999,male,Nik a les cheveux courts. ,"piercing,vegan,sea,music,mountain,friends,tv,sport",aamir-tameen-867782_640.jpg,7-23-1964,48.8275970000003,2.297868,8
meryem,Vasseur,female,meryem.Vasseur.35@email.fr,meryemV35,meryemV35999,female,Il est très ennuyeux. ,"music,sport,piercing,tv,lazy,friends,mountain,sea,vegan",39_photo_112233.jpeg,4-6-1994,48.970597000001,2.51236800000001,2
royal,Boulanger,male,royal.Boulanger.36@email.fr,royalB36,royalB36999,male,C'est la première fois que je viens ici. ,"lazy,sport,vegan,mountain",model-5176707_640.jpg,2-21-2000,48.9135970000007,2.42686800000001,2
ravindra,Guyon,male,ravindra.Guyon.37@email.fr,ravindraG37,ravindraG37999,bisexual,Quelle est votre attitude à l'égard de ,"music,friends,sport,lazy,piercing,vegan,tv,geek,mountain,sea",portrait-3204879_640.jpg,6-11-1958,48.969097000001,2.51011800000001,5
khadija,Bousquet,female,khadija.Bousquet.38@email.fr,khadijaB38,khadijaB38999,bisexual,Est-ce que tu fais du sport? ,"mountain,geek,tv",28_photo_112233.jpeg,6-4-1993,48.8495970000004,2.330868,3
cristiano,Cordier,male,cristiano.Cordier.39@email.fr,cristianoC39,cristianoC39999,male,J'ai besoin d'aller chez moi. ,"geek,tv",kevin-bacon-83495_640.jpg,9-15-1965,48.7905970000001,2.242368,2
maxene,Normand,female,maxene.Normand.40@email.fr,maxeneN40,maxeneN40999,bisexual,Où est-ce que tu travaillais avant d'être avec nous ici ? ,"sport,music,piercing,lazy,tv,geek,vegan",93_photo_112233.jpeg,6-12-1984,48.776097,2.220618,7
harper,Hoarau,male,harper.Hoarau.41@email.fr,harperH41,harperH41999,female,Peter a les cheveux noirs. ,"lazy,geek,tv,sea,sport",man-3252165_640.jpg,8-23-1951,48.8295970000003,2.300868,8
sunday,Poirier,female,sunday.Poirier.42@email.fr,sundayP42,sundayP42999,female,Depuis combien de temps est tu es en France? ,"music,friends,sport,lazy,piercing,vegan,tv,geek,mountain,sea",fright-7989944_640.jpg,5-4-1961,48.7940970000001,2.247618,8
elisaveta,Maillard,female,elisaveta.Maillard.43@email.fr,elisavetaM43,elisavetaM43999,male,Vos enfants sont très bien élevés. ,"sea,vegan,mountain,geek,sport,friends,music",86_photo_112233.jpeg,4-28-1967,48.9395970000008,2.46586800000001,3
gintaras,Lemaitre,male,gintaras.Lemaitre.44@email.fr,gintarasL44,gintarasL44999,female,Elle a les cheveux mi-longs. ,"friends,piercing,sea",people-5987395_640.jpg,5-2-1955,48.985097000001,2.53411800000001,1
anita,Rodriguez,female,anita.Rodriguez.45@email.fr,anitaR45,anitaR45999,male,C'est ma mère. ,"vegan,music,sea,friends,sport,lazy,tv,geek,piercing,mountain",28_photo_112233.jpeg,4-17-1975,48.9250970000007,2.44411800000001,4
steph,Wagner,female,steph.Wagner.46@email.fr,stephW46,stephW46999,male,Elle est spécialiste. ,"sea,mountain,music,tv,sport,friends,geek",1_photo_112233.jpeg,12-12-1983,48.8070970000002,2.267118,9
dipali,Klein,female,dipali.Klein.47@email.fr,dipaliK47,dipaliK47999,bisexual,Je sais. ,"sea,mountain,vegan,music,lazy,tv,piercing,sport,geek",street-performers-870127_640.jpg,3-1-1978,48.8015970000002,2.258868,8
merv,Maillet,male,merv.Maillet.48@email.fr,mervM48,mervM48999,male,C'est très important. ,"geek,tv",112_photo_112233.jpeg,2-16-1952,48.9255970000008,2.44486800000001,9
vlasi,Leclerc,male,vlasi.Leclerc.49@email.fr,vlasiL49,vlasiL49999,bisexual,Je lui dirai que tu as appelé. ,"sea,music,friends,sport,vegan,mountain,geek",man-210379_640.jpg,7-20-1950,48.9030970000006,2.41111800000001,2
madhur,Bertin,female,madhur.Bertin.50@email.fr,madhurB50,madhurB50999,female,C'est trop. ,music,63_photo_112233.jpeg,8-27-1972,48.8165970000002,2.281368,4
fathi,Favre,male,fathi.Favre.51@email.fr,fathiF51,fathiF51999,male,Où est-ce que tu as appris français ? ,"sea,mountain,vegan,music,lazy,tv,piercing,sport,geek",shakespeare-4959130_640.jpg,9-8-1975,48.972097000001,2.51461800000001,8
keoni,Texier,male,keoni.Texier.52@email.fr,keoniT52,keoniT52999,bisexual,Combien de personnes est-ce qu'il y a dans ta famille? ,"friends,geek,music,vegan,piercing",man-8162325_640.jpg,9-22-1974,48.9465970000009,2.47636800000001,1
marten,Jacquet,male,marten.Jacquet.53@email.fr,martenJ53,martenJ53999,female,Je ne comprends pas. ,"friends,geek,music,vegan,piercing",man-3252165_640.jpg,2-5-1978,48.8535970000004,2.336868,7
orlagh,Bertrand,female,orlagh.Bertrand.54@email.fr,orlaghB54,orlaghB54999,female,Je ne pense pas ,"tv,music,vegan",mount-saint-helens-4395977_640.jpg,6-22-1952,48.8365970000003,2.311368,9
davina,Laporte,female,davina.Laporte.55@email.fr,davinaL55,davinaL55999,male,Je crois que ,"vegan,geek,mountain,music,sea,piercing,tv,lazy,friends",madame-tussauds-1720457_640.jpg,10-25-1979,48.8955970000006,2.39986800000001,5
aviva,Baudry,female,aviva.Baudry.56@email.fr,avivaB56,avivaB56999,female,Tu es très intelligent. ,"sea,lazy",mask-4985280_640.jpg,4-22-1961,48.9615970000009,2.49886800000001,4
alessandro,Dos,male,alessandro.Dos.57@email.fr,alessandroD57,alessandroD57999,male,Pour ma part ,"music,geek,sport,tv,vegan,mountain",kevin-bacon-83495_640.jpg,8-6-1953,48.9380970000008,2.46361800000001,10
mirinda,Riou,female,mirinda.Riou.58@email.fr,mirindaR58,mirindaR58999,bisexual,Elle travaille dur. ,"sea,lazy",22_photo_112233.jpeg,4-24-1977,48.9515970000009,2.48386800000001,1
blodeuyn,Brun,female,blodeuyn.Brun.59@email.fr,blodeuynB59,blodeuynB59999,female,Je pense que c'est très bon. ,"sport,tv,sea",surprise-5321849_640.jpg,5-19-1955,48.8050970000002,2.264118,1
culhwch,Clerc,male,culhwch.Clerc.60@email.fr,culhwchC60,culhwchC60999,male,Je pensais que les vêtements étaient plus chers. ,"tv,geek",58_photo_112233.jpeg,9-1-1952,48.9255970000008,2.44486800000001,7
keturah,Charpentier,female,keturah.Charpentier.61@email.fr,keturahC61,keturahC61999,bisexual,Tu es très intelligent. ,geek,woman-1462686_640.jpg,7-22-1964,48.8835970000006,2.38186800000001,9
imelda,Blot,female,imelda.Blot.62@email.fr,imeldaB62,imeldaB62999,bisexual,Il est maigre. ,"sport,music,piercing,lazy,tv,geek,vegan",madame-tussauds-1720457_640.jpg,8-26-1950,48.8745970000005,2.36836800000001,8
eryn,Barthelemy,female,eryn.Barthelemy.63@email.fr,erynB63,erynB63999,bisexual,Elle est amicale. ,"tv,music,geek,friends,piercing,sea,sport",woman-1462682_640.jpg,7-12-1993,48.8705970000005,2.36236800000001,4
candy,Gilles,female,candy.Gilles.64@email.fr,candyG64,candyG64999,female,Allons voir. ,"lazy,geek",39_photo_112233.jpeg,12-14-1957,48.9505970000009,2.48236800000001,3
madeleine,Weber,female,madeleine.Weber.65@email.fr,madeleineW65,madeleineW65999,female,Est-ce que votre maison est comme celle-ci? ,"sea,lazy",actor-542726_640.jpg,8-6-1976,48.9160970000007,2.43061800000001,7
esteve,Roche,male,esteve.Roche.66@email.fr,esteveR66,esteveR66999,male,A quelle école est-ce que tu es allé? ,"piercing,sport,tv,mountain,friends,vegan,music,geek",108_photo_112233.jpeg,10-28-1975,48.8190970000002,2.285118,3
pompiliu,Lebrun,male,pompiliu.Lebrun.67@email.fr,pompiliuL67,pompiliuL67999,bisexual,Elle est courageuse. ,"friends,mountain,sea,vegan,music",33_photo_112233.jpeg,6-24-2000,48.9675970000009,2.50786800000001,2
rebeccanne,Descamps,female,rebeccanne.Descamps.68@email.fr,rebeccanneD68,rebeccanneD68999,female,Cela dépend de ,"lazy,sport,vegan,mountain",72_photo_112233.jpeg,7-8-1985,48.8675970000005,2.35786800000001,4
havel,Pelletier,male,havel.Pelletier.69@email.fr,havelP69,havelP69999,male,Est-ce que tu as fait ça avant ? ,"piercing,vegan,tv,mountain,sport,music,sea,lazy,geek",jorn-schlonvogt-1202320_640.jpg,8-10-1954,48.8515970000004,2.333868,3
otieno,Paris,male,otieno.Paris.70@email.fr,otienoP70,otienoP70999,male,Combien d'enfants est-ce tu as? ,"vegan,geek,lazy,friends,mountain",groucho-marx-male-1278137_640.jpg,5-14-1991,48.778597,2.224368,10
mack,Mallet,male,mack.Mallet.71@email.fr,mackM71,mackM71999,male,En ce qui me concerne ,"sport,music,friends,sea,mountain,lazy,tv",man-7971966_640.jpg,4-27-1986,48.8540970000004,2.337618,1
bernie,Aubry,male,bernie.Aubry.72@email.fr,bernieA72,bernieA72999,bisexual,C'est très important. ,"lazy,sport,vegan,mountain",95_photo_112233.jpeg,2-19-1963,48.9220970000007,2.43961800000001,10
olga,Chevallier,female,olga.Chevallier.73@email.fr,olgaC73,olgaC73999,bisexual,Excellent. ,"tv,music,sport,sea,mountain,piercing,friends,vegan",london-5731175_640.jpg,1-27-1965,48.9370970000008,2.46211800000001,3
amilia,Bigot,female,amilia.Bigot.74@email.fr,amiliaB74,amiliaB74999,male,Elle est intelligente. ,"lazy,mountain,piercing,tv",street-performers-870127_640.jpg,6-12-1975,48.9405970000008,2.46736800000001,8
karola,Pons,female,karola.Pons.75@email.fr,karolaP75,karolaP75999,bisexual,Je ne me le suis jamais demandé. ,geek,theatre-3966147_640.jpg,7-26-1978,48.9640970000009,2.50261800000001,5
weldon,Barthelemy,male,weldon.Barthelemy.76@email.fr,weldonB76,weldonB76999,bisexual,Es-tu sûr? ,"geek,vegan,sea,friends,tv,piercing,lazy,mountain,music,sport",96_photo_112233.jpeg,11-13-1955,48.8020970000002,2.259618,8
maris,Guerin,female,maris.Guerin.77@email.fr,marisG77,marisG77999,bisexual,Merci Monsieur. ,"lazy,geek",london-5731175_640.jpg,2-16-1992,48.773097,2.216118,6
lajos,Huet,male,lajos.Huet.78@email.fr,lajosH78,lajosH78999,male,Il est marrant. ,"sea,music,friends,sport,vegan,mountain,geek",man-8245780_640.webp,6-20-2002,48.777097,2.222118,7
ottavio,Fleury,male,ottavio.Fleury.79@email.fr,ottavioF79,ottavioF79999,bisexual,Est-ce que tu viens ce soir? ,"lazy,geek",frank-sinatra-1281484_640.jpg,8-18-1984,48.7915970000001,2.243868,6
xenia,Faure,female,xenia.Faure.80@email.fr,xeniaF80,xeniaF80999,female,Es-tu français? ,"geek,piercing,music,lazy,tv",theatre-3966147_640.jpg,10-25-1982,48.8880970000006,2.38861800000001,8
simge,Duval,female,simge.Duval.81@email.fr,simgeD81,simgeD81999,male,Est-ce que ton frère est allé en France ? ,"tv,sea",34_photo_112233.jpeg,1-19-1983,48.8955970000006,2.39986800000001,4
pocahontas,Leclerc,female,pocahontas.Leclerc.82@email.fr,pocahontasL82,pocahontasL82999,bisexual,Je fais un mètre quatre-vingt. ,"geek,sport,vegan,music,sea,mountain,piercing,tv",model-3362457_640.jpg,11-14-2004,48.9645970000009,2.50336800000001,6
shaw,Lenoir,male,shaw.Lenoir.83@email.fr,shawL83,shawL83999,female,Mon père y est allé. ,"music,sport,piercing,tv,lazy,friends,mountain,sea,vegan",dracula-theater-7209931_640.jpg,10-7-1991,48.8200970000002,2.286618,6
boitumelo,Michaud,female,boitumelo.Michaud.84@email.fr,boitumeloM84,boitumeloM84999,female,Il est gros. ,"sport,music,vegan,piercing,mountain,sea,tv,friends,lazy",girl-2491656_640.jpg,5-16-1954,48.9495970000009,2.48086800000001,5
iskender,Pons,male,iskender.Pons.85@email.fr,iskenderP85,iskenderP85999,male,Voudriez-vous acheter ça ? ,"music,lazy,sea,sport,tv,friends,piercing,geek,vegan",groucho-marx-male-1278137_640.jpg,5-18-1961,48.8635970000005,2.35186800000001,1
vespera,Blanchard,female,vespera.Blanchard.86@email.fr,vesperaB86,vesperaB86999,bisexual,Est-ce que ton mari est aussi de Boston? ,"vegan,music,sea,friends,sport,lazy,tv,geek,piercing,mountain",drama-1155445_640.jpg,4-21-1997,48.9530970000009,2.48611800000001,2
mictlantecuhtli,Berthelot,male,mictlantecuhtli.Berthelot.87@email.fr,mictlantecuhtliB87,mictlantecuhtliB87999,female,A bientôt. ,"friends,tv,sea,vegan,lazy,music,sport,geek,mountain,piercing",face-3265605_640.jpg,5-1-2001,48.974597000001,2.51836800000001,9
evdokiya,Morel,female,evdokiya.Morel.88@email.fr,evdokiyaM88,evdokiyaM88999,bisexual,"Non, merci. ","lazy,geek",36_photo_112233.jpeg,1-28-1991,48.9215970000007,2.43886800000001,7
meriwether,Roux,male,meriwether.Roux.89@email.fr,meriwetherR89,meriwetherR89999,female,Je ne parle pas très bien. ,"mountain,vegan,friends",businessman-6248246_640.jpg,2-4-2000,48.9510970000009,2.48311800000001,8
jocelin,Ferrand,female,jocelin.Ferrand.90@email.fr,jocelinF90,jocelinF90999,female,Il est sérieux. ,"sport,music,vegan,piercing,mountain,sea,tv,friends,lazy",fashion-4746903_640.jpg,8-10-1994,48.8730970000005,2.36611800000001,7
ata,Peltier,male,ata.Peltier.91@email.fr,ataP91,ataP91999,male,J'imagine que ,"piercing,friends,geek,sport,music",80_photo_112233.jpeg,5-17-1995,48.9585970000009,2.49436800000001,4
munira,Lombard,female,munira.Lombard.92@email.fr,muniraL92,muniraL92999,female,Je suis marié. ,"tv,sport,music,vegan,geek,mountain,lazy,friends,sea",90_photo_112233.jpeg,6-11-1953,48.9095970000007,2.42086800000001,7
zephaniah,Sauvage,male,zephaniah.Sauvage.93@email.fr,zephaniahS93,zephaniahS93999,female,J'ai froid. ,"vegan,geek,lazy,friends,mountain",horse-144550_640.jpg,12-4-1991,48.9275970000008,2.44786800000001,1
kliment,Fontaine,male,kliment.Fontaine.94@email.fr,klimentF94,klimentF94999,bisexual,Je ne l'aime pas. ,"vegan,lazy,sea,mountain,sport,friends,music,piercing,tv",mountain-5823822_640.jpg,2-25-1968,48.978597000001,2.52436800000001,1
teri,Duval,female,teri.Duval.95@email.fr,teriD95,teriD95999,male,Je dois dire que ,"music,sport,piercing,tv,lazy,friends,mountain,sea,vegan",5_photo_112233.jpeg,10-11-1953,48.8080970000002,2.268618,8
winnifred,Bonneau,female,winnifred.Bonneau.96@email.fr,winnifredB96,winnifredB96999,male,Il est / C'est injuste que ,"sea,lazy",49_photo_112233.jpeg,11-27-1979,48.7815970000001,2.228868,4
denzel,Baudry,male,denzel.Baudry.97@email.fr,denzelB97,denzelB97999,bisexual,J'ai besoin d'aller chez moi. ,"mountain,sport,sea,friends,lazy",brad-pitt-164880_640.jpg,5-20-1950,48.7950970000001,2.249118,1
calogero,Fleury,male,calogero.Fleury.98@email.fr,calogeroF98,calogeroF98999,male,Fais attention. ,"tv,sport,mountain,sea,vegan",portrait-3204879_640.jpg,7-9-1989,48.9095970000007,2.42086800000001,4
titania,Julien,female,titania.Julien.99@email.fr,titaniaJ99,titaniaJ99999,male,Je ne suis pas à même de dire si ,"friends,tv,sea,sport,music,geek",drama-1155445_640.jpg,1-20-1982,48.8970970000006,2.40211800000001,1
oleg,Martins,male,oleg.Martins.100@email.fr,olegM100,olegM100999,female,Est-ce que tu en as un autre? ,"music,sea,lazy,vegan,geek",people-3365483_640.jpg,1-18-1961,48.969097000001,2.51011800000001,10
bjarne,Maillot,male,bjarne.Maillot.101@email.fr,bjarneM101,bjarneM101999,male,J'ai entendu parler de ,"sea,geek,lazy",43_photo_112233.jpeg,12-10-1959,48.7955970000001,2.249868,8
vilma,Guyot,female,vilma.Guyot.102@email.fr,vilmaG102,vilmaG102999,bisexual,Je ne suis pas encore prêt. ,"tv,geek",1_photo_112233.jpeg,10-8-1966,48.9605970000009,2.49736800000001,3
manasseh,Lebon,male,manasseh.Lebon.103@email.fr,manassehL103,manassehL103999,male,C'est bon. ,"geek,vegan,sea,friends,tv,piercing,lazy,mountain,music,sport",gregory-peck-90779_640.jpg,3-14-1978,48.8830970000006,2.38111800000001,3
esau,Paris,male,esau.Paris.104@email.fr,esauP104,esauP104999,bisexual,Tente ta chance. ,"vegan,sport,piercing,mountain",18_photo_112233.jpeg,11-26-1958,48.773597,2.216868,6
caerwyn,Dos,male,caerwyn.Dos.105@email.fr,caerwynD105,caerwynD105999,male,Est-ce que tu veux venir avec moi? ,"tv,sport,mountain,sea,vegan",brett-952579_640.jpg,1-26-2001,48.8355970000003,2.309868,2
benedetto,Schneider,male,benedetto.Schneider.106@email.fr,benedettoS106,benedettoS106999,male,Excellent. ,"geek,sport,music,tv,friends,piercing,mountain,vegan,sea,lazy",58_photo_112233.jpeg,11-3-1978,48.9040970000007,2.41261800000001,8
xanthe,Andre,female,xanthe.Andre.107@email.fr,xantheA107,xantheA107999,male,Sans vouloir vous contredire ,"mountain,sport,sea,friends,lazy",portrait-3359403_640.jpg,11-3-1965,48.982597000001,2.53036800000001,10
eleonore,Carre,female,eleonore.Carre.108@email.fr,eleonoreC108,eleonoreC108999,male,Santé! ,"mountain,piercing,sport,music,vegan",40_photo_112233.jpeg,4-27-1990,48.983097000001,2.53111800000001,3
jubal,Brunel,male,jubal.Brunel.109@email.fr,jubalB109,jubalB109999,bisexual,La prochaine fois. ,geek,76_photo_112233.jpeg,4-23-1962,48.8605970000004,2.34736800000001,4
ignasi,Jacob,male,ignasi.Jacob.110@email.fr,ignasiJ110,ignasiJ110999,male,Je ne peux pas m'empêcher de penser que ,"mountain,lazy,geek,sea",james-stewart-675177_640.jpg,1-13-1999,48.773097,2.216118,7
kassy,Denis,female,kassy.Denis.111@email.fr,kassyD111,kassyD111999,female,J'ai perdu ma montre. ,"geek,piercing,music,lazy,tv",like-5321848_640.jpg,7-2-1957,48.7865970000001,2.236368,10
keisha,Lacoste,female,keisha.Lacoste.112@email.fr,keishaL112,keishaL112999,female,Je n'en veux pas. ,"lazy,vegan,piercing,friends,sea,mountain",actors-1851317_640.jpg,4-1-1962,48.8095970000002,2.270868,10
fester,Carpentier,male,fester.Carpentier.113@email.fr,festerC113,festerC113999,male,Je dois laver mes vêtements. ,geek,59_photo_112233.jpeg,6-10-1997,48.8530970000004,2.336118,10
xavior,Chartier,male,xavior.Chartier.114@email.fr,xaviorC114,xaviorC114999,bisexual,Elle est jolie. ,"mountain,music,tv,sport,geek,sea,friends,piercing,lazy,vegan",smile-1221915_640.jpg,6-10-1956,48.8565970000004,2.341368,8
kanya,Dubois,female,kanya.Dubois.115@email.fr,kanyaD115,kanyaD115999,bisexual,On dit que ,"geek,tv,vegan,lazy,music",3_photo_112233.jpeg,9-25-1956,48.9165970000007,2.43136800000001,5
maurus,Moreau,male,maurus.Moreau.116@email.fr,maurusM116,maurusM116999,male,Est-ce que ton frère est allé en France ? ,"sea,vegan,friends,geek,lazy",43_photo_112233.jpeg,8-9-1966,48.8840970000006,2.38261800000001,7
bodil,Morin,female,bodil.Morin.117@email.fr,bodilM117,bodilM117999,male,J'aimerais connaître / avoir votre réaction face à ,"sea,vegan,mountain,geek,sport,friends,music",89_photo_112233.jpeg,2-4-1982,48.7815970000001,2.228868,1
enyo,Albert,female,enyo.Albert.118@email.fr,enyoA118,enyoA118999,female,Est-ce que tu peux traduire ça pour moi? ,"geek,vegan,sea,friends,tv,piercing,lazy,mountain,music,sport",34_photo_112233.jpeg,12-25-1994,48.8585970000004,2.344368,10
aegle,Barthelemy,female,aegle.Barthelemy.119@email.fr,aegleB119,aegleB119999,bisexual,Tu te sens mieux? ,"music,geek,sport,tv,vegan,mountain",63_photo_112233.jpeg,10-2-1994,48.9250970000007,2.44411800000001,4
chin,Raymond,male,chin.Raymond.120@email.fr,chinR120,chinR120999,male,Juste là. ,"music,geek,friends,vegan,sport,sea,mountain",mime-4871674_640.jpg,7-22-1985,48.8985970000006,2.40436800000001,9
jaquelyn,Mary,female,jaquelyn.Mary.121@email.fr,jaquelynM121,jaquelynM121999,male,Je fais une taille huit. ,"tv,music,sport,sea,mountain,piercing,friends,vegan",london-5731175_640.jpg,2-1-1987,48.8360970000003,2.310618,5
